"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","123","test_setup_db","","Sat Jul 19 19:07:00 YEKT 2025","passed","Sat Jul 19 19:07:01 YEKT 2025","TestUsers","test_users","",""
"","67","test_setup_db","autotests","Sat Jul 19 18:45:29 YEKT 2025","passed","Sat Jul 19 18:45:29 YEKT 2025","TestUsers","test_users","",""
"","126","test_post_create_user","","Sat Jul 19 19:07:01 YEKT 2025","passed","Sat Jul 19 19:07:01 YEKT 2025","TestUsers","test_users","",""
"","51","test_post_create_user","autotests","Sat Jul 19 18:45:29 YEKT 2025","passed","Sat Jul 19 18:45:29 YEKT 2025","TestUsers","test_users","",""
